ID1,ID2,RecSes1,RecSes2,MatchProb,refPopCorr,refPopRank,refPopSig
395,35,1,2,2.6377557391977e-06,0.84722295037714,1,0
396,130,1,2,6.12934014774665e-12,0.781042361934226,1,0
399,35,1,2,0.40130393058123,0.715741171540222,1,0
401,407,1,2,8.23998852050416e-11,0.737708592517416,1,0
403,416,1,2,0.820137163132875,0.783941927155598,1,1
406,108,1,2,5.26153126331177e-07,0.836372259000944,1,0
407,56,1,2,0.0012867417508095,0.847015203493793,1,0
408,199,1,2,3.27507359124987e-14,0.877000687897665,1,0
409,60,1,2,0.998884465603002,0.966241766457295,1,1
410,71,1,2,3.93110089142009e-07,0.938881246823378,1,0
411,64,1,2,0.949291824358747,0.874323417418959,1,1
413,95,1,2,0.999987933065871,0.866365995918563,1,1
415,438,1,2,0.99934350635209,0.866189854476023,1,0
417,439,1,2,0.850861547202626,0.778542425123307,1,0
418,108,1,2,0.827904376187753,0.880026695443587,1,0
420,445,1,2,0.988678527250753,0.744078557479217,1,0
421,117,1,2,0.998313543229374,0.852406390993277,1,0
424,565,1,2,1.67317420822544e-13,0.787105680161308,1,0
425,175,1,2,1.29137619412582e-09,0.815477716638659,1,0
427,131,1,2,0.90565543560164,0.808504610375956,1,1
428,131,1,2,2.44375626061877e-08,0.731190373375129,1,1
429,455,1,2,0.999785136783578,0.741693207150423,1,1
430,89,1,2,0.106811958552724,0.79491577028118,1,0
431,264,1,2,2.31624089774414e-09,0.78830841270436,1,0
433,146,1,2,0.958795950902052,0.874146003463279,1,1
436,71,1,2,1.14989190401689e-10,0.923730517825847,1,0
437,71,1,2,1.1745877355556799e-11,0.93252674673873,1,0
438,71,1,2,2.1742448636574497e-11,0.934108355146689,1,0
439,473,1,2,3.15570016436375e-15,0.783446306529149,1,0
441,458,1,2,0.0206618341616503,0.941899164949402,1,0
442,155,1,2,0.001389821494282,0.89773408977653,1,0
443,156,1,2,0.983976796836729,0.88532623141211,1,1
445,569,1,2,0.9992838479711,0.874771128620335,1,0
446,470,1,2,0.999943050614852,0.914084972345973,1,0
449,192,1,2,1.2852174782305e-09,0.874585636635913,1,0
450,171,1,2,0.918309413402526,0.858117819299409,1,1
452,170,1,2,0.172933133049097,0.671631402276741,1,0
453,473,1,2,4.44296950660034e-11,0.883231888739293,1,0
455,175,1,2,1.14486743389251e-05,0.719370527664083,1,0
456,199,1,2,1.6851724834059998e-14,0.83696279585745,1,0
461,218,1,2,0.392265621183013,0.858300189359595,1,1
464,246,1,2,2.50144914043973e-10,0.89157773190009,1,1
465,493,1,2,0.0516264187321046,0.916686659012304,1,0
466,351,1,2,1.32362602525601e-13,0.847405343862959,1,0
471,253,1,2,8.311488269945719e-11,0.66800403516887,1,0
474,262,1,2,8.88169991944488e-13,0.549246866825242,1,0
475,524,1,2,0.800709006566413,0.925038543323617,1,1
476,267,1,2,0.0008664589695943,0.831324856279655,1,1
479,506,1,2,0.0028937045455234,0.898409890225942,1,1
482,508,1,2,0.999780193039914,0.908525756648369,1,1
486,215,1,2,1.1411555842938e-13,0.87254938631254,1,0
487,305,1,2,0.254165592063182,0.893286639052174,1,0
489,328,1,2,8.55063301878323e-07,0.791940100808015,1,0
490,317,1,2,0.389115811488885,0.887783664065777,1,0
491,521,1,2,0.999932200556879,0.859861566838043,1,1
492,270,1,2,8.413947044832649e-16,0.797722311621066,1,0
493,259,1,2,6.47432863115538e-08,0.898262581075088,1,0
496,350,1,2,0.934435044441228,0.904371092370352,1,1
498,356,1,2,0.99999983701968,0.949275882949361,1,0
500,359,1,2,0.250260994510043,0.858447281106937,1,1
504,374,1,2,0.999999224130364,0.92076979853091,1,1
507,187,1,2,1.02064710056063e-09,0.821270519534415,1,0
508,551,1,2,3.2481185715106e-06,0.896050943191336,1,0
511,308,1,2,1.6969517101662397e-11,0.787229440578791,1,0
512,351,1,2,3.1015432855734404e-14,0.907172585019075,1,0
513,555,1,2,0.998223577443324,0.93915599473309,1,0
514,371,1,2,5.239343811708599e-13,0.952393616211917,1,0
515,556,1,2,0.911087735710012,0.921075851910236,1,0
517,343,1,2,4.03237085970271e-13,0.87612374170201,1,0
518,343,1,2,5.14969209706473e-13,0.921426826828818,1,0
521,558,1,2,0.999984643755011,0.889075874479993,1,1
525,157,1,2,2.85585713184554e-08,0.750447494328556,1,0
527,11,1,2,5.8862539767522094e-12,0.736695135672505,1,0
530,570,1,2,0.347809767667689,0.789302585520666,1,0
531,474,1,2,0.999676331922984,0.826279942789678,1,0
532,178,1,2,0.309703011447774,0.86747517069222,1,0
537,268,1,2,0.781580752850128,0.917562014338976,1,1
539,510,1,2,0.974643427736818,0.883341764824112,1,0
540,580,1,2,3.14765824582059e-07,0.728499641542779,1,0
542,302,1,2,0.971587678928904,0.793601846022277,1,0
544,255,1,2,2.07293725717497e-09,0.835916583851543,1,0
550,361,1,2,0.00020638722265,0.85806567312559,1,0
